#saved Fri Feb 13 17:51:08 2026
#saving x array=energy, y array=flat
#Goethite: Goethite
#------------------------------------------
# energy, Goethite
 6880.00000,  5.87272e-4
 6890.23828,  3.82714e-4
 6900.47607,  4.26257e-4
 6910.71436,  2.78013e-4
 6920.95215,  2.36545e-4
 6931.19043,  1.46207e-4
 6941.42871, -2.55767e-7
 6951.66650, -3.63333e-5
 6961.90479, -8.09314e-5
 6972.14307, -1.63421e-4
 6982.38086, -2.48714e-4
 6992.61914, -2.52798e-4
 7002.85693, -8.63928e-5
 7013.09521,  9.89368e-5
 7023.33350,  9.20136e-5
 7033.57129,  2.95145e-4
 7043.80957,  6.33094e-4
 7054.04785,  0.00108516
 7064.28564,  0.00181549
 7074.52393,  0.00279610
 7084.76172,  0.00439662
 7095.00000,  0.00753874
 7095.25000,  0.00769409
 7095.50000,  0.00781330
 7095.75000,  0.00783018
 7096.00000,  0.00806309
 7096.25000,  0.00814097
 7096.50000,  0.00822111
 7096.75000,  0.00837586
 7097.00000,  0.00838840
 7097.25000,  0.00855164
 7097.50000,  0.00857412
 7097.75000,  0.00877004
 7098.00000,  0.00891619
 7098.25000,  0.00907233
 7098.50000,  0.00929363
 7098.75000,  0.00932126
 7099.00000,  0.00950708
 7099.25000,  0.00967059
 7099.50000,  0.00982445
 7099.75000,  0.00997293
 7100.00000,  0.01003306
 7100.25000,  0.01032092
 7100.50000,  0.01050348
 7100.75000,  0.01079845
 7101.00000,  0.01090058
 7101.25000,  0.01105804
 7101.50000,  0.01124593
 7101.75000,  0.01143651
 7102.00000,  0.01167588
 7102.25000,  0.01187265
 7102.50000,  0.01204914
 7102.75000,  0.01231890
 7103.00000,  0.01244327
 7103.25000,  0.01272077
 7103.50000,  0.01301597
 7103.75000,  0.01323678
 7104.00000,  0.01351523
 7104.25000,  0.01374816
 7104.50000,  0.01398815
 7104.75000,  0.01423010
 7105.00000,  0.01465473
 7105.25000,  0.01491560
 7105.50000,  0.01530231
