#saved Fri Feb 13 17:51:08 2026
#saving x array=energy, y array=flat
#Augite: Augite
#------------------------------------------
# energy, Augite
 6880.12500,  5.20747e-4
 6890.36328,  4.34826e-4
 6900.60107,  3.20753e-4
 6910.83936,  3.02098e-4
 6921.07715,  2.33095e-4
 6931.31543,  2.13304e-4
 6941.55371, -4.76330e-5
 6951.79150, -2.11560e-5
 6962.02979, -9.75394e-5
 6972.26807, -1.72948e-4
 6982.50586, -1.67215e-4
 6992.74414, -1.91939e-4
 7002.98193, -1.17610e-4
 7013.22021, -1.47501e-4
 7023.45850,  1.06421e-4
 7033.69629,  1.77280e-4
 7043.93457,  2.33440e-4
 7054.17285,  7.11113e-4
 7064.41064,  0.00112006
 7074.64893,  0.00186393
 7084.88672,  0.00324874
 7095.12500,  0.00550791
 7095.37500,  0.00569416
 7095.62500,  0.00571385
 7095.87500,  0.00582770
 7096.12500,  0.00588460
 7096.37500,  0.00601411
 7096.62500,  0.00611788
 7096.87500,  0.00622569
 7097.12500,  0.00629067
 7097.37500,  0.00653963
 7097.62500,  0.00647804
 7097.87500,  0.00673248
 7098.12500,  0.00667909
 7098.37500,  0.00685925
 7098.62500,  0.00713316
 7098.87500,  0.00714356
 7099.12500,  0.00738617
 7099.37500,  0.00760057
 7099.62500,  0.00763692
 7099.87500,  0.00784607
 7100.12500,  0.00796843
 7100.37500,  0.00800831
 7100.62500,  0.00819940
 7100.87500,  0.00822894
 7101.12500,  0.00853530
 7101.37500,  0.00859163
 7101.62500,  0.00881492
 7101.87500,  0.00895392
 7102.12500,  0.00915772
 7102.37500,  0.00928358
 7102.62500,  0.00956002
 7102.87500,  0.00969719
 7103.12500,  0.00990658
 7103.37500,  0.01011532
 7103.62500,  0.01035867
 7103.87500,  0.01053426
 7104.12500,  0.01075966
 7104.37500,  0.01099148
 7104.62500,  0.01128914
 7104.87500,  0.01157149
 7105.12500,  0.01183115
 7105.37500,  0.01215814
 7105.62500,  0.01245519
 7105.87500,  0.01266171
 7106.12500,  0.01293724
 7106.37500,  0.01327143
 7106.62500,  0.01380358
 7106.87500,  0.01409835
 7107.12500,  0.01458594
 7107.37500,  0.01498263
 7107.62500,  0.01553021
 7107.87500,  0.01593999
 7108.12500,  0.01661208
 7108.37500,  0.01724885
 7108.62500,  0.01803159
 7108.87500,  0.01874719
 7109.12500,  0.01979021
 7109.37500,  0.02109348
 7109.62500,  0.02244427
 7109.87500,  0.02430761
 7110.12500,  0.02651744
 7110.37500,  0.02895574
 7110.62500,  0.03159870
 7110.87500,  0.03422133
 7111.12500,  0.03723342
 7111.37500,  0.03991919
 7111.62500,  0.04255417
 7111.87500,  0.04486878
 7112.12500,  0.04728662
 7112.37500,  0.04963061
 7112.62500,  0.05178616
 7112.87500,  0.05344128
 7113.12500,  0.05508077
 7113.37500,  0.05630350
 7113.62500,  0.05669494
 7113.87500,  0.05703940
 7114.12500,  0.05708005
 7114.37500,  0.05725883
 7114.62500,  0.05705284
 7114.87500,  0.05758140
 7115.12500,  0.05908774
 7115.37500,  0.06165684
 7115.62500,  0.06499925
 7115.87500,  0.07066609
 7116.12500,  0.07762729
 7116.37500,  0.08613973
 7116.62500,  0.09568447
 7116.87500,  0.10737411
 7117.12500,  0.12027679
 7117.37500,  0.13596722
 7117.62500,  0.15095528
 7117.87500,  0.17157811
 7118.12500,  0.19350401
 7118.37500,  0.22080501
 7118.62500,  0.24715591
 7118.87500,  0.28229626
 7119.12500,  0.31713839
 7119.37500,  0.35635472
 7119.62500,  0.38938294
 7119.87500,  0.42906206
 7120.12500,  0.46228425
 7120.37500,  0.49773537
 7120.62500,  0.52581686
 7120.87500,  0.55814085
 7121.12500,  0.58640614
 7121.37500,  0.61669962
 7121.62500,  0.64449952
 7121.87500,  0.67764132
 7122.12500,  0.70961636
 7122.37500,  0.74566833
 7122.62500,  0.77918359
 7122.87500,  0.81989890
 7123.12500,  0.85821751
 7123.37500,  0.89708819
 7123.62500,  0.93465741
 7123.87500,  0.97297027
 7124.12500,  1.00874385
 7124.37500,  1.04082951
 7124.62500,  1.07080086
 7124.87500,  1.09725297
 7125.12500,  1.11867378
 7125.37500,  1.13416560
 7125.62500,  1.14552939
 7125.87500,  1.15425426
 7126.12500,  1.16179179
 7126.37500,  1.16750822
 7126.62500,  1.17751079
 7126.87500,  1.18874307
 7127.12500,  1.20050804
 7127.37500,  1.21354936
 7127.62500,  1.22852963
 7127.87500,  1.24441920
 7128.12500,  1.26086215
 7128.37500,  1.27411531
 7128.62500,  1.28962170
 7128.87500,  1.30195138
 7129.12500,  1.31201416
