#saved Fri Feb 13 17:52:20 2026
#saving x array=energy, y array=norm
#Green Rust - Sulfate: Green Rust - Sulfate
#------------------------------------------
# energy, Green Rust - Sulfate
 6880.00000,  9.10982e-4
 6890.23828,  7.91096e-4
 6900.47607,  6.01621e-4
 6910.71436,  4.46966e-4
 6920.95215,  3.03102e-4
 6931.19043,  1.87628e-4
 6941.42871,  7.10064e-5
 6951.66650, -1.45221e-4
 6961.90479, -2.37574e-4
 6972.14307, -3.41138e-4
 6982.38086, -3.09010e-4
 6992.61914, -3.19039e-4
 7002.85693, -3.33364e-4
 7013.09521, -2.66656e-4
 7023.33350, -1.46519e-4
 7033.57129,  2.96515e-5
 7043.80957,  2.80046e-4
 7054.04785,  7.80121e-4
 7064.28564,  0.00152650
 7074.52393,  0.00270672
 7084.76172,  0.00479593
 7095.00000,  0.00891186
 7095.25000,  0.00906934
 7095.50000,  0.00920186
 7095.75000,  0.00932745
 7096.00000,  0.00945004
 7096.25000,  0.00963649
 7096.50000,  0.00979637
 7096.75000,  0.00992491
 7097.00000,  0.01015725
 7097.25000,  0.01033878
 7097.50000,  0.01052484
 7097.75000,  0.01067485
 7098.00000,  0.01084872
 7098.25000,  0.01107133
 7098.50000,  0.01126206
 7098.75000,  0.01144944
 7099.00000,  0.01174729
 7099.25000,  0.01190363
 7099.50000,  0.01215885
 7099.75000,  0.01235530
 7100.00000,  0.01257479
 7100.25000,  0.01283498
 7100.50000,  0.01310812
 7100.75000,  0.01331835
 7101.00000,  0.01370150
 7101.25000,  0.01397332
 7101.50000,  0.01426331
 7101.75000,  0.01452583
 7102.00000,  0.01482675
 7102.25000,  0.01520129
 7102.50000,  0.01546161
 7102.75000,  0.01579378
 7103.00000,  0.01620515
 7103.25000,  0.01650102
 7103.50000,  0.01688914
 7103.75000,  0.01729077
 7104.00000,  0.01769478
 7104.25000,  0.01814016
 7104.50000,  0.01861030
 7104.75000,  0.01901271
 7105.00000,  0.01945205
 7105.25000,  0.02004388
 7105.50000,  0.02053825
 7105.75000,  0.02114250
 7106.00000,  0.02174580
 7106.25000,  0.02243580
 7106.50000,  0.02300742
 7106.75000,  0.02369608
 7107.00000,  0.02443475
 7107.25000,  0.02545193
 7107.50000,  0.02626037
 7107.75000,  0.02731611
 7108.00000,  0.02842595
 7108.25000,  0.02975522
 7108.50000,  0.03105944
 7108.75000,  0.03278028
 7109.00000,  0.03463549
 7109.25000,  0.03704184
 7109.50000,  0.03933684
 7109.75000,  0.04233054
 7110.00000,  0.04521297
 7110.25000,  0.04866318
 7110.50000,  0.05165562
 7110.75000,  0.05506540
 7111.00000,  0.05812996
 7111.25000,  0.06114586
 7111.50000,  0.06356447
 7111.75000,  0.06625417
 7112.00000,  0.06856918
 7112.25000,  0.07104307
 7112.50000,  0.07326075
 7112.75000,  0.07574447
 7113.00000,  0.07826162
 7113.25000,  0.08092150
 7113.50000,  0.08352590
 7113.75000,  0.08698289
 7114.00000,  0.09064418
 7114.25000,  0.09503027
 7114.50000,  0.10024414
 7114.75000,  0.10651775
 7115.00000,  0.11451558
 7115.25000,  0.12307693
 7115.50000,  0.13396544
 7115.75000,  0.14665490
 7116.00000,  0.16228199
 7116.25000,  0.17835108
 7116.50000,  0.19895592
 7116.75000,  0.22102288
 7117.00000,  0.24788524
 7117.25000,  0.27255746
 7117.50000,  0.30477059
 7117.75000,  0.33669340
 7118.00000,  0.37226268
 7118.25000,  0.40551765
 7118.50000,  0.44523912
 7118.75000,  0.48146146
 7119.00000,  0.52098776
 7119.25000,  0.55402193
 7119.50000,  0.59201484
 7119.75000,  0.62415675
 7120.00000,  0.65715612
 7120.25000,  0.68466390
 7120.50000,  0.71414517
 7120.75000,  0.73952601
 7121.00000,  0.76696241
 7121.25000,  0.78960204
 7121.50000,  0.81651788
 7121.75000,  0.84059684
 7122.00000,  0.86570940
 7122.25000,  0.88845074
 7122.50000,  0.91463104
 7122.75000,  0.93784632
 7123.00000,  0.96179040
 7123.25000,  0.98323320
 7123.50000,  1.00730381
 7123.75000,  1.02950561
 7124.00000,  1.04995402
 7124.25000,  1.06889448
 7124.50000,  1.08745081
 7124.75000,  1.10396107
 7125.00000,  1.11846167
 7125.25000,  1.13151495
 7125.50000,  1.14313546
 7125.75000,  1.15450733
 7126.00000,  1.16430822
 7126.25000,  1.17349197
 7126.50000,  1.18272801
 7126.75000,  1.19123030
 7127.00000,  1.19822630
 7127.25000,  1.20572221
 7127.50000,  1.21223465
 7127.75000,  1.21713636
 7128.00000,  1.22064732
 7128.25000,  1.22246172
 7128.50000,  1.22250567
 7128.75000,  1.22008063
 7129.00000,  1.21670352
 7129.25000,  1.21031407
 7129.50000,  1.20318454
 7129.75000,  1.19322064
 7130.00000,  1.18507852
 7130.25000,  1.17404152
