#saved Fri Feb 13 17:52:20 2026
#saving x array=energy, y array=norm
#2L-Fhy: 2L-Fhy
#------------------------------------------
# energy, 2L-Fhy
 6880.00000,  9.98872e-4
 6890.23828,  7.16235e-4
 6900.47607,  6.01989e-4
 6910.71436,  5.35161e-4
 6920.95215,  3.89648e-4
 6931.19043,  2.37176e-4
 6941.42871,  1.55301e-4
 6951.66650, -2.33632e-5
 6961.90479, -1.33196e-4
 6972.14307, -2.68781e-4
 6982.38086, -3.06382e-4
 6992.61914, -2.30307e-4
 7002.85693, -3.02453e-4
 7013.09521, -2.06312e-4
 7023.33350, -1.34267e-4
 7033.57129,  5.59026e-6
 7043.80957,  2.18443e-4
 7054.04785,  5.98902e-4
 7064.28564,  0.00122537
 7074.52393,  0.00218396
 7084.76172,  0.00371155
 7095.00000,  0.00669707
 7095.25000,  0.00678224
 7095.50000,  0.00682644
 7095.75000,  0.00691883
 7096.00000,  0.00702063
 7096.25000,  0.00717761
 7096.50000,  0.00732404
 7096.75000,  0.00741684
 7097.00000,  0.00751980
 7097.25000,  0.00769368
 7097.50000,  0.00774543
 7097.75000,  0.00788611
 7098.00000,  0.00802362
 7098.25000,  0.00819193
 7098.50000,  0.00822086
 7098.75000,  0.00844132
 7099.00000,  0.00858001
 7099.25000,  0.00876764
 7099.50000,  0.00892613
 7099.75000,  0.00910495
 7100.00000,  0.00933546
 7100.25000,  0.00947566
 7100.50000,  0.00950616
 7100.75000,  0.00975438
 7101.00000,  0.00989172
 7101.25000,  0.01011436
 7101.50000,  0.01040438
 7101.75000,  0.01059412
 7102.00000,  0.01070164
 7102.25000,  0.01099054
 7102.50000,  0.01116942
 7102.75000,  0.01137862
 7103.00000,  0.01171798
 7103.25000,  0.01191347
 7103.50000,  0.01216141
 7103.75000,  0.01242447
 7104.00000,  0.01263216
 7104.25000,  0.01293382
 7104.50000,  0.01333688
 7104.75000,  0.01345376
 7105.00000,  0.01380579
 7105.25000,  0.01415352
 7105.50000,  0.01446454
 7105.75000,  0.01474138
 7106.00000,  0.01517711
 7106.25000,  0.01566468
 7106.50000,  0.01605345
 7106.75000,  0.01653055
 7107.00000,  0.01706739
 7107.25000,  0.01764199
 7107.50000,  0.01812049
 7107.75000,  0.01882599
 7108.00000,  0.01946721
 7108.25000,  0.02039871
 7108.50000,  0.02113033
 7108.75000,  0.02205923
 7109.00000,  0.02315459
 7109.25000,  0.02442334
