#saved Fri Feb 13 17:52:20 2026
#saving x array=energy, y array=norm
#Ilmenite: Ilmenite
#------------------------------------------
# energy, Ilmenite
 6880.00000,  2.03770e-4
 6890.23828,  1.42438e-4
 6900.47607,  5.40333e-5
 6910.71436,  4.05442e-5
 6920.95215,  4.90799e-5
 6931.19043,  2.25830e-5
 6941.42871, -1.30061e-5
 6951.66650, -4.24979e-5
 6961.90479, -5.61022e-5
 6972.14307, -4.47747e-5
 6982.38086,  1.38192e-5
 6992.61914,  7.08987e-5
 7002.85693,  2.07050e-4
 7013.09521,  3.65496e-4
 7023.33350,  5.52703e-4
 7033.57129,  8.34492e-4
 7043.80957,  0.00122908
 7054.04785,  0.00176897
 7064.28564,  0.00254488
 7074.52393,  0.00373588
 7084.76172,  0.00562565
 7095.00000,  0.00914686
 7095.25000,  0.00928683
 7095.50000,  0.00936607
 7095.75000,  0.00952068
 7096.00000,  0.00962152
 7096.25000,  0.00973850
 7096.50000,  0.00983489
 7096.75000,  0.01003104
 7097.00000,  0.01013565
 7097.25000,  0.01031677
 7097.50000,  0.01044280
 7097.75000,  0.01060598
 7098.00000,  0.01073381
 7098.25000,  0.01092515
 7098.50000,  0.01107820
 7098.75000,  0.01126300
 7099.00000,  0.01138845
 7099.25000,  0.01160016
 7099.50000,  0.01175930
 7099.75000,  0.01192877
 7100.00000,  0.01210808
 7100.25000,  0.01233261
 7100.50000,  0.01252583
 7100.75000,  0.01274514
 7101.00000,  0.01292861
 7101.25000,  0.01314882
 7101.50000,  0.01335552
 7101.75000,  0.01358238
 7102.00000,  0.01381100
 7102.25000,  0.01404850
 7102.50000,  0.01428765
 7102.75000,  0.01454102
 7103.00000,  0.01479035
 7103.25000,  0.01507972
 7103.50000,  0.01537624
 7103.75000,  0.01563843
 7104.00000,  0.01593625
 7104.25000,  0.01625796
 7104.50000,  0.01660370
 7104.75000,  0.01690634
 7105.00000,  0.01729473
 7105.25000,  0.01762446
 7105.50000,  0.01803759
 7105.75000,  0.01843255
 7106.00000,  0.01888928
 7106.25000,  0.01930359
 7106.50000,  0.01978479
 7106.75000,  0.02019341
 7107.00000,  0.02080778
 7107.25000,  0.02135596
 7107.50000,  0.02199738
 7107.75000,  0.02254880
 7108.00000,  0.02334860
 7108.25000,  0.02402455
 7108.50000,  0.02491558
 7108.75000,  0.02571515
 7109.00000,  0.02683816
 7109.25000,  0.02797603
 7109.50000,  0.02920300
 7109.75000,  0.03058877
 7110.00000,  0.03239248
 7110.25000,  0.03440835
 7110.50000,  0.03675047
 7110.75000,  0.03950370
 7111.00000,  0.04286273
 7111.25000,  0.04710566
 7111.50000,  0.05162589
 7111.75000,  0.05701490
 7112.00000,  0.06322569
 7112.25000,  0.07025403
 7112.50000,  0.07655592
 7112.75000,  0.08382929
 7113.00000,  0.09032483
 7113.25000,  0.09661729
 7113.50000,  0.10124449
 7113.75000,  0.10576535
 7114.00000,  0.10910467
 7114.25000,  0.11186395
 7114.50000,  0.11330987
 7114.75000,  0.11404243
 7115.00000,  0.11413769
 7115.25000,  0.11431338
 7115.50000,  0.11496640
 7115.75000,  0.11634761
 7116.00000,  0.11808237
 7116.25000,  0.12063148
 7116.50000,  0.12320856
 7116.75000,  0.12671352
 7117.00000,  0.13045723
 7117.25000,  0.13483886
 7117.50000,  0.13913304
 7117.75000,  0.14499367
 7118.00000,  0.15106625
 7118.25000,  0.15846286
 7118.50000,  0.16617213
 7118.75000,  0.17641117
 7119.00000,  0.18735307
 7119.25000,  0.20038405
 7119.50000,  0.21489940
 7119.75000,  0.23244371
 7120.00000,  0.25195582
 7120.25000,  0.27296660
 7120.50000,  0.29606690
 7120.75000,  0.32191219
 7121.00000,  0.35094639
 7121.25000,  0.37974434
 7121.50000,  0.41109555
 7121.75000,  0.44536842
 7122.00000,  0.48064989
