#saved Fri Feb 13 17:52:20 2026
#saving x array=energy, y array=norm
#Maghemite: Maghemite
#------------------------------------------
# energy, Maghemite
 6898.12500,  3.11219e-4
 6908.36328,  1.43145e-4
 6918.60107,  1.70084e-4
 6928.83936,  1.51568e-4
 6939.07715,  1.95456e-5
 6949.31543, -1.10552e-4
 6959.55371, -5.88393e-5
 6969.79150, -8.09026e-5
 6980.02979, -1.23545e-4
 6990.26807, -1.56789e-4
 7000.50586, -1.59939e-4
 7010.74414, -8.06360e-5
 7020.98193,  1.05153e-4
 7031.22021,  3.24852e-4
 7041.45850,  6.29453e-4
 7051.69629,  0.00152280
 7061.93457,  0.00210258
 7072.17285,  0.00311901
 7082.41064,  0.00482257
 7092.64893,  0.00774507
 7102.88672,  0.01410156
 7113.12500,  0.05999643
 7113.37500,  0.07070464
 7113.62500,  0.08477700
 7113.87500,  0.10262927
 7114.12500,  0.12346057
 7114.37500,  0.14404734
 7114.62500,  0.16224892
 7114.87500,  0.17327020
 7115.12500,  0.17591552
 7115.37500,  0.17059999
 7115.62500,  0.15985696
 7115.87500,  0.14831837
 7116.12500,  0.13908033
 7116.37500,  0.13321607
 7116.62500,  0.13052005
 7116.87500,  0.13034157
 7117.12500,  0.13183498
 7117.37500,  0.13357899
 7117.62500,  0.13523088
 7117.87500,  0.13699828
 7118.12500,  0.13849570
 7118.37500,  0.13981808
 7118.62500,  0.14110316
 7118.87500,  0.14275317
 7119.12500,  0.14459278
 7119.37500,  0.14761631
 7119.62500,  0.15165005
 7119.87500,  0.15739046
 7120.12500,  0.16477255
 7120.37500,  0.17405491
 7120.62500,  0.18593049
 7120.87500,  0.20001375
 7121.12500,  0.21704286
 7121.37500,  0.23642408
 7121.62500,  0.25951303
 7121.87500,  0.28529747
 7122.12500,  0.31487576
 7122.37500,  0.34719353
 7122.62500,  0.38158619
 7122.87500,  0.41913932
 7123.12500,  0.45638114
 7123.37500,  0.49371083
 7123.62500,  0.52789956
 7123.87500,  0.56011893
 7124.12500,  0.58848651
 7124.37500,  0.61428338
 7124.62500,  0.63729002
 7124.87500,  0.65824379
 7125.12500,  0.67835513
